,Trade ID,Trade Time,Security,Bond Type,Bond Rating,Industry,Issuer,Notional ($),Price,Yield (%),Buy/Sell,Counterparty,Dealer,Execution Method,Trade Volume,Transaction Cost ($)
22,100023,2024-01-01 09:52:00,US Corp Bond,IG,B,Energy,Goldman Sachs,40509279,97.13,4.12,Sell,Wellington,JP Morgan,RFQ,99424132,111955.18
23,100024,2024-01-01 09:53:00,US Corp Bond,IG,AAA,Utilities,Citi,68139763,96.12,3.65,Sell,Morgan Stanley,Goldman Sachs,Voice,115905218,45530.91
24,100025,2024-01-01 09:54:00,US Corp Bond,IG,BBB,Technology,JPMorgan,58602580,107.56,5.65,Buy,T. Rowe Price,JP Morgan,Voice,123001093,121531.21
25,100026,2024-01-01 09:55:00,US Corp Bond,HY,AA,Financials,Microsoft,16075894,94.31,6.54,Sell,Vanguard,JP Morgan,Voice,24678860,36656.23
26,100027,2024-01-01 09:56:00,US Corp Bond,IG,B,Energy,Citi,58624692,105.32,5.38,Sell,Morgan Stanley,Citi,Voice,123542347,113983.32
27,100028,2024-01-01 09:57:00,US Corp Bond,IG,BB,Financials,Vanguard,6791206,108.95,5.22,Buy,Fidelity,Morgan Stanley,RFQ,12003781,7681.33
28,100029,2024-01-01 09:58:00,US Corp Bond,IG,BBB,Healthcare,Tesla,72539236,101.09,3.04,Sell,Wellington,Goldman Sachs,Voice,159903486,76734.52
29,100030,2024-01-01 09:59:00,US Corp Bond,IG,BBB,Technology,Amazon,87608672,96.03,3.84,Sell,Morgan Stanley,Barclays,RFQ,145336323,85557.36
30,100031,2024-01-01 10:00:00,US Corp Bond,HY,AAA,Utilities,Citi,17826266,90.8,8.6,Sell,Wellington,Goldman Sachs,RFQ,43677476,49374.75
31,100032,2024-01-01 10:01:00,US Corp Bond,IG,CCC,Financials,Citi,34011714,109.22,3.66,Buy,Morgan Stanley,Morgan Stanley,RFQ,46183695,18223.63
32,100033,2024-01-01 10:02:00,US Corp Bond,IG,BB,Technology,Citi,63092177,101.98,5.45,Sell,Wellington,Barclays,RFQ,114048966,113730.98
33,100034,2024-01-01 10:03:00,US Corp Bond,EM,BB,Energy,Citi,10581000,103.12,3.4,Sell,Morgan Stanley,JP Morgan,Voice,14072986,13758.82
34,100035,2024-01-01 10:04:00,US Corp Bond,EM,BBB,Utilities,Citi,7322415,97.34,3.5,Buy,Morgan Stanley,Citi,RFQ,10752707,5050.63
35,100036,2024-01-01 10:05:00,US Corp Bond,HY,A,Utilities,Amazon,11220943,83.62,8.41,Buy,BlackRock,Citi,Voice,20500490,16522.98
36,100037,2024-01-01 10:06:00,US Corp Bond,IG,BB,Consumer Goods,Tesla,82265928,102.76,3.07,Sell,Vanguard,Morgan Stanley,Voice,110671723,145315.17
37,100038,2024-01-01 10:07:00,US Corp Bond,IG,AA,Financials,Vanguard,50859674,102.93,5.98,Sell,Fidelity,Morgan Stanley,Voice,63653811,77238.15
38,100039,2024-01-01 10:08:00,US Corp Bond,HY,A,Technology,Citi,47775358,96.2,9.04,Sell,Fidelity,Citi,RFQ,109227588,100555.98
39,100040,2024-01-01 10:09:00,US Corp Bond,IG,AAA,Financials,Citi,33485626,106.51,4.95,Buy,BlackRock,Barclays,RFQ,53970437,55812.73
40,100041,2024-01-01 10:10:00,US Corp Bond,IG,B,Energy,Vanguard,29905912,98.04,3.76,Buy,Morgan Stanley,Barclays,Voice,62685973,9343.68
41,100042,2024-01-01 10:11:00,US Corp Bond,IG,AA,Energy,JPMorgan,35811704,109.13,5.86,Sell,Vanguard,Goldman Sachs,RFQ,63433921,14270.7
42,100043,2024-01-01 10:12:00,US Corp Bond,IG,AA,Utilities,JPMorgan,48283818,97.63,4.0,Buy,Wellington,JP Morgan,Voice,103549805,64687.77
43,100044,2024-01-01 10:13:00,US Corp Bond,EM,A,Utilities,Amazon,20258844,97.96,3.38,Buy,BlackRock,Barclays,Voice,29710789,18930.07
44,100045,2024-01-01 10:14:00,US Corp Bond,IG,BBB,Technology,Tesla,43998848,95.19,4.36,Buy,Fidelity,JP Morgan,RFQ,54495796,28175.71
45,100046,2024-01-01 10:15:00,US Corp Bond,HY,BBB,Healthcare,Tesla,11962823,96.75,9.44,Buy,Fidelity,Morgan Stanley,RFQ,21908994,22146.35
46,100047,2024-01-01 10:16:00,US Corp Bond,IG,AA,Financials,Goldman Sachs,16987646,101.43,5.89,Buy,T. Rowe Price,Barclays,RFQ,33783701,32086.84
47,100048,2024-01-01 10:17:00,US Corp Bond,IG,AAA,Financials,Tesla,31210498,97.74,4.51,Buy,T. Rowe Price,Barclays,Voice,75795106,80218.73
48,100049,2024-01-01 10:18:00,US Corp Bond,IG,BBB,Energy,Amazon,46683840,98.18,4.8,Sell,Fidelity,Barclays,RFQ,101886827,43140.46
49,100050,2024-01-01 10:19:00,US Corp Bond,IG,CCC,Financials,Vanguard,8748995,109.82,4.45,Sell,Morgan Stanley,Goldman Sachs,RFQ,20335310,2110.63
50,100051,2024-01-01 10:20:00,US Corp Bond,EM,BB,Technology,Citi,18774439,108.94,3.7,Sell,T. Rowe Price,Morgan Stanley,RFQ,39837196,57927.63
51,100052,2024-01-01 10:21:00,US Corp Bond,HY,A,Consumer Goods,Vanguard,8623929,83.19,10.15,Buy,Wellington,Citi,RFQ,21497051,25401.03
52,100053,2024-01-01 10:22:00,US Corp Bond,EM,B,Utilities,Amazon,24251484,100.15,5.9,Sell,Wellington,Goldman Sachs,RFQ,51824427,38339.55
53,100054,2024-01-01 10:23:00,US Corp Bond,HY,A,Energy,Goldman Sachs,29236052,84.7,10.18,Sell,Wellington,Goldman Sachs,RFQ,58899149,9498.16
54,100055,2024-01-01 10:24:00,US Corp Bond,IG,A,Utilities,BlackRock,58910342,108.23,3.17,Buy,Morgan Stanley,Barclays,RFQ,90925272,34440.7
55,100056,2024-01-01 10:25:00,US Corp Bond,EM,A,Utilities,Amazon,31803140,96.47,4.51,Sell,Fidelity,Goldman Sachs,RFQ,45978023,8006.76
56,100057,2024-01-01 10:26:00,US Corp Bond,IG,A,Utilities,Amazon,77880871,103.76,3.73,Sell,T. Rowe Price,Citi,RFQ,116097189,89171.97
57,100058,2024-01-01 10:27:00,US Corp Bond,IG,BBB,Consumer Goods,BlackRock,7706979,97.79,5.12,Sell,T. Rowe Price,Goldman Sachs,Voice,8769703,3543.25
58,100059,2024-01-01 10:28:00,US Corp Bond,IG,A,Financials,Vanguard,59843882,106.37,4.13,Sell,Fidelity,Goldman Sachs,Voice,85457001,72979.32
59,100060,2024-01-01 10:29:00,US Corp Bond,IG,A,Healthcare,BlackRock,63448539,104.47,5.8,Buy,Morgan Stanley,Barclays,Voice,95146705,17777.1
60,100061,2024-01-01 10:30:00,US Corp Bond,IG,AA,Utilities,Amazon,96863918,100.82,4.31,Sell,Vanguard,Morgan Stanley,RFQ,118157630,129401.82
61,100062,2024-01-01 10:31:00,US Corp Bond,IG,AAA,Technology,Amazon,42482061,96.47,5.03,Buy,Morgan Stanley,Citi,RFQ,47419906,11426.99
62,100063,2024-01-01 10:32:00,US Corp Bond,HY,A,Utilities,BlackRock,7618027,97.44,8.27,Buy,Morgan Stanley,Barclays,RFQ,13741897,7327.61
63,100064,2024-01-01 10:33:00,US Corp Bond,IG,AA,Utilities,Microsoft,69729053,96.16,5.59,Sell,Fidelity,Goldman Sachs,Voice,94380737,94689.39
64,100065,2024-01-01 10:34:00,US Corp Bond,IG,AA,Financials,Amazon,5330032,99.11,4.66,Buy,Wellington,Citi,RFQ,7598452,1904.35
65,100066,2024-01-01 10:35:00,US Corp Bond,IG,BBB,Technology,Goldman Sachs,55315631,98.8,5.41,Buy,Fidelity,JP Morgan,RFQ,136809929,201104.65
66,100067,2024-01-01 10:36:00,US Corp Bond,IG,BBB,Financials,Amazon,64678387,103.68,3.74,Buy,T. Rowe Price,Goldman Sachs,Voice,84584421,31103.27
67,100068,2024-01-01 10:37:00,US Corp Bond,HY,BBB,Utilities,Amazon,20610626,84.52,8.28,Buy,Vanguard,Morgan Stanley,RFQ,24111631,3630.09
68,100069,2024-01-01 10:38:00,US Corp Bond,IG,A,Financials,Citi,68503323,99.2,3.1,Sell,BlackRock,Goldman Sachs,RFQ,154488020,160046.04
69,100070,2024-01-01 10:39:00,US Corp Bond,EM,BB,Financials,Tesla,45670972,101.46,4.0,Sell,T. Rowe Price,Morgan Stanley,RFQ,67543694,42833.16
70,100071,2024-01-01 10:40:00,US Corp Bond,HY,B,Energy,Tesla,20016689,92.11,11.47,Buy,BlackRock,JP Morgan,RFQ,36160476,52587.67
71,100072,2024-01-01 10:41:00,US Corp Bond,IG,BB,Consumer Goods,BlackRock,77295174,103.6,5.62,Buy,Morgan Stanley,Barclays,Voice,175223825,38937.57
72,100073,2024-01-01 10:42:00,US Corp Bond,IG,BBB,Healthcare,JPMorgan,81288809,108.47,4.42,Buy,BlackRock,Barclays,Voice,147088580,87819.9
73,100074,2024-01-01 10:43:00,US Corp Bond,HY,A,Consumer Goods,Goldman Sachs,5757679,98.43,6.66,Buy,T. Rowe Price,Barclays,Voice,13531223,12593.23
74,100075,2024-01-01 10:44:00,US Corp Bond,HY,CCC,Consumer Goods,Citi,5188776,81.8,6.69,Sell,Wellington,Citi,RFQ,10529430,9076.5
75,100076,2024-01-01 10:45:00,US Corp Bond,HY,AA,Technology,Citi,34594679,83.25,11.76,Buy,Fidelity,Morgan Stanley,RFQ,67907695,53193.6
76,100077,2024-01-01 10:46:00,US Corp Bond,HY,AA,Energy,BlackRock,28010201,82.77,6.95,Sell,Vanguard,Goldman Sachs,RFQ,60480195,38551.39
77,100078,2024-01-01 10:47:00,US Corp Bond,IG,A,Energy,JPMorgan,57399653,104.61,4.87,Buy,Vanguard,Citi,Voice,80727800,102410.66
78,100079,2024-01-01 10:48:00,US Corp Bond,IG,AAA,Financials,JPMorgan,71412521,105.41,4.92,Buy,Vanguard,Citi,RFQ,95733922,28079.65
79,100080,2024-01-01 10:49:00,US Corp Bond,IG,CCC,Consumer Goods,Citi,37487657,102.12,4.47,Buy,T. Rowe Price,Goldman Sachs,Voice,85340342,68444.17
80,100081,2024-01-01 10:50:00,US Corp Bond,HY,A,Healthcare,Goldman Sachs,39324581,81.24,7.88,Sell,T. Rowe Price,JP Morgan,RFQ,92812790,83663.85
81,100082,2024-01-01 10:51:00,US Corp Bond,HY,A,Technology,Tesla,39548535,87.83,7.77,Sell,Fidelity,Barclays,RFQ,52392171,70135.08
82,100083,2024-01-01 10:52:00,US Corp Bond,IG,BBB,Energy,Citi,16267536,95.35,5.22,Sell,Wellington,JP Morgan,Voice,29990847,14859.04
83,100084,2024-01-01 10:53:00,US Corp Bond,IG,A,Financials,Microsoft,67050191,100.72,4.15,Buy,Vanguard,JP Morgan,Voice,89661751,43332.77
84,100085,2024-01-01 10:54:00,US Corp Bond,IG,AAA,Healthcare,Microsoft,8502429,107.58,5.81,Sell,BlackRock,Barclays,Voice,9714152,11985.61
85,100086,2024-01-01 10:55:00,US Corp Bond,IG,BBB,Consumer Goods,Amazon,47306771,100.08,4.03,Buy,Wellington,JP Morgan,RFQ,85166206,41527.95
86,100087,2024-01-01 10:56:00,US Corp Bond,HY,BBB,Healthcare,Citi,41662609,92.72,10.6,Buy,Wellington,Citi,RFQ,80906250,14193.5
87,100088,2024-01-01 10:57:00,US Corp Bond,HY,A,Energy,Amazon,16406095,88.15,6.5,Sell,T. Rowe Price,Goldman Sachs,Voice,28821346,23957.8
88,100089,2024-01-01 10:58:00,US Corp Bond,HY,BBB,Technology,Vanguard,35289850,86.49,6.13,Buy,T. Rowe Price,Citi,RFQ,77430155,90024.51
89,100090,2024-01-01 10:59:00,US Corp Bond,IG,AA,Consumer Goods,JPMorgan,76554554,102.81,5.46,Sell,Wellington,Citi,Voice,108965643,34309.84
90,100091,2024-01-01 11:00:00,US Corp Bond,IG,AA,Technology,Vanguard,73357740,95.54,5.36,Buy,Vanguard,Morgan Stanley,RFQ,175221748,204455.71
91,100092,2024-01-01 11:01:00,US Corp Bond,HY,AA,Utilities,Microsoft,13741807,89.63,10.84,Buy,Wellington,Barclays,RFQ,25950480,15474.88
92,100093,2024-01-01 11:02:00,US Corp Bond,HY,A,Healthcare,Vanguard,20642640,82.02,8.77,Buy,T. Rowe Price,Barclays,Voice,38093823,54394.24
93,100094,2024-01-01 11:03:00,US Corp Bond,IG,BB,Healthcare,Goldman Sachs,76993115,109.97,3.69,Buy,Vanguard,Citi,RFQ,133471980,29607.96
94,100095,2024-01-01 11:04:00,US Corp Bond,HY,BB,Financials,Microsoft,12689506,90.22,6.3,Buy,BlackRock,Barclays,RFQ,17779707,9626.19
95,100096,2024-01-01 11:05:00,US Corp Bond,IG,A,Consumer Goods,Citi,5583797,105.93,3.18,Sell,T. Rowe Price,Morgan Stanley,RFQ,8355992,3293.91
96,100097,2024-01-01 11:06:00,US Corp Bond,IG,A,Healthcare,Tesla,28618172,106.65,4.2,Buy,BlackRock,Goldman Sachs,RFQ,53624346,72695.32
97,100098,2024-01-01 11:07:00,US Corp Bond,IG,BBB,Energy,Microsoft,93802483,102.92,5.43,Buy,BlackRock,JP Morgan,RFQ,200612013,98485.79
98,100099,2024-01-01 11:08:00,US Corp Bond,IG,AA,Utilities,Amazon,88726557,98.28,4.53,Sell,T. Rowe Price,Barclays,Voice,115087685,54308.27
99,100100,2024-01-01 11:09:00,US Corp Bond,IG,AA,Energy,Amazon,8999089,107.13,5.44,Sell,T. Rowe Price,Citi,RFQ,16483290,17910.26
100,100101,2024-01-01 11:10:00,US Corp Bond,IG,CCC,Technology,Goldman Sachs,18996191,99.05,3.5,Buy,BlackRock,Barclays,RFQ,21698274,31000.95
101,100102,2024-01-01 11:11:00,US Corp Bond,HY,BBB,Utilities,JPMorgan,12155793,93.53,6.86,Sell,Wellington,Citi,RFQ,16490698,15275.72
102,100103,2024-01-01 11:12:00,US Corp Bond,IG,CCC,Utilities,Tesla,67341647,105.96,4.2,Buy,Wellington,JP Morgan,Voice,149842972,212578.44
103,100104,2024-01-01 11:13:00,US Corp Bond,IG,A,Energy,Citi,92693913,103.46,5.58,Sell,Vanguard,Barclays,RFQ,137818807,140746.12
104,100105,2024-01-01 11:14:00,US Corp Bond,EM,BBB,Healthcare,Microsoft,44639763,104.94,5.87,Sell,BlackRock,JP Morgan,RFQ,66783218,25109.85
105,100106,2024-01-01 11:15:00,US Corp Bond,IG,AA,Energy,BlackRock,44544464,99.39,3.17,Buy,Morgan Stanley,Citi,Voice,82114033,93805.04
106,100107,2024-01-01 11:16:00,US Corp Bond,IG,AA,Consumer Goods,Tesla,24192943,106.41,5.82,Sell,BlackRock,Morgan Stanley,Voice,39185693,20181.47
107,100108,2024-01-01 11:17:00,US Corp Bond,HY,A,Technology,Amazon,14283368,85.97,5.51,Buy,Fidelity,Morgan Stanley,RFQ,32534382,17319.17
108,100109,2024-01-01 11:18:00,US Corp Bond,IG,A,Utilities,Goldman Sachs,9182705,102.26,4.45,Buy,Morgan Stanley,Goldman Sachs,RFQ,15937180,19639.77
109,100110,2024-01-01 11:19:00,US Corp Bond,IG,AA,Consumer Goods,Goldman Sachs,27337044,96.81,3.73,Buy,Fidelity,Citi,Voice,62830538,29044.67
110,100111,2024-01-01 11:20:00,US Corp Bond,IG,AA,Healthcare,Vanguard,69402180,104.3,3.85,Sell,Morgan Stanley,Citi,RFQ,77210302,43744.11
111,100112,2024-01-01 11:21:00,US Corp Bond,IG,AAA,Healthcare,Microsoft,58577118,100.12,4.99,Buy,T. Rowe Price,Citi,RFQ,130736613,193760.88
112,100113,2024-01-01 11:22:00,US Corp Bond,EM,BBB,Energy,Citi,39061503,101.29,4.26,Sell,Vanguard,Morgan Stanley,Voice,44555383,15062.28
113,100114,2024-01-01 11:23:00,US Corp Bond,HY,A,Financials,BlackRock,6632221,99.86,10.01,Buy,Wellington,Morgan Stanley,RFQ,15369128,15138.14
114,100115,2024-01-01 11:24:00,US Corp Bond,HY,AAA,Utilities,Citi,23719658,99.38,6.36,Sell,Vanguard,Morgan Stanley,Voice,57692917,37641.77
115,100116,2024-01-01 11:25:00,US Corp Bond,HY,AA,Utilities,Tesla,23003936,92.68,9.8,Sell,Morgan Stanley,Barclays,RFQ,53847780,29487.84
116,100117,2024-01-01 11:26:00,US Corp Bond,HY,AA,Financials,BlackRock,2053805,90.77,7.23,Sell,BlackRock,Barclays,RFQ,4820776,1379.87
117,100118,2024-01-01 11:27:00,US Corp Bond,IG,BBB,Healthcare,Citi,19932379,109.91,4.93,Sell,Vanguard,Morgan Stanley,RFQ,37370326,31598.16
118,100119,2024-01-01 11:28:00,US Corp Bond,HY,AAA,Healthcare,Vanguard,24972409,97.23,6.61,Buy,Morgan Stanley,JP Morgan,RFQ,60569946,54383.42
119,100120,2024-01-01 11:29:00,US Corp Bond,IG,BBB,Utilities,BlackRock,69021809,108.71,3.12,Buy,BlackRock,Barclays,Voice,87568532,93092.85
120,100121,2024-01-01 11:30:00,US Corp Bond,HY,AAA,Technology,BlackRock,40066737,82.13,9.46,Buy,Wellington,Barclays,Voice,50356441,60587.8
121,100122,2024-01-01 11:31:00,US Corp Bond,HY,AA,Utilities,Tesla,20678720,85.88,9.32,Buy,Morgan Stanley,Barclays,RFQ,30731960,20829.93
122,100123,2024-01-01 11:32:00,US Corp Bond,IG,BB,Healthcare,BlackRock,66729395,105.26,5.87,Sell,Fidelity,Barclays,RFQ,124439331,106277.76
123,100124,2024-01-01 11:33:00,US Corp Bond,IG,BBB,Healthcare,Vanguard,85669511,103.08,5.76,Buy,Fidelity,Goldman Sachs,RFQ,114395655,21879.39
124,100125,2024-01-01 11:34:00,US Corp Bond,IG,AAA,Technology,Microsoft,57678007,100.68,6.0,Sell,Fidelity,Barclays,Voice,134378071,91928.41
125,100126,2024-01-01 11:35:00,US Corp Bond,IG,BB,Consumer Goods,JPMorgan,47210791,109.15,3.21,Sell,BlackRock,JP Morgan,Voice,69151442,19689.38
126,100127,2024-01-01 11:36:00,US Corp Bond,HY,A,Consumer Goods,JPMorgan,43704506,81.53,8.73,Buy,BlackRock,Goldman Sachs,Voice,104042865,10509.85
127,100128,2024-01-01 11:37:00,US Corp Bond,HY,BB,Technology,Goldman Sachs,34862069,96.97,7.85,Buy,Vanguard,Barclays,Voice,52313248,9607.23
128,100129,2024-01-01 11:38:00,US Corp Bond,IG,BBB,Technology,JPMorgan,43044765,95.25,3.09,Buy,BlackRock,Citi,RFQ,55697536,7496.72
129,100130,2024-01-01 11:39:00,US Corp Bond,IG,BBB,Consumer Goods,Tesla,73738048,106.09,5.66,Buy,Morgan Stanley,Goldman Sachs,RFQ,157808325,102447.96
130,100131,2024-01-01 11:40:00,US Corp Bond,IG,CCC,Consumer Goods,Goldman Sachs,36141558,108.41,5.63,Buy,Fidelity,Barclays,RFQ,42339578,27015.87
131,100132,2024-01-01 11:41:00,US Corp Bond,IG,AA,Consumer Goods,JPMorgan,47278713,97.79,4.62,Sell,Wellington,JP Morgan,RFQ,103544698,39200.1
132,100133,2024-01-01 11:42:00,US Corp Bond,IG,BBB,Consumer Goods,JPMorgan,23312340,95.52,5.64,Buy,T. Rowe Price,Morgan Stanley,RFQ,56143877,42179.31
133,100134,2024-01-01 11:43:00,US Corp Bond,IG,A,Utilities,Goldman Sachs,92283344,98.66,5.06,Buy,Fidelity,Barclays,RFQ,131373407,27763.62
134,100135,2024-01-01 11:44:00,US Corp Bond,EM,AAA,Utilities,Tesla,23300643,108.26,3.51,Buy,Morgan Stanley,Citi,RFQ,52169082,26532.05
135,100136,2024-01-01 11:45:00,US Corp Bond,IG,AAA,Energy,Goldman Sachs,21773959,95.24,5.53,Sell,T. Rowe Price,JP Morgan,RFQ,51942347,8498.8
136,100137,2024-01-01 11:46:00,US Corp Bond,IG,AA,Technology,Amazon,36157935,96.52,4.2,Buy,Wellington,Goldman Sachs,RFQ,56142611,6141.17
137,100138,2024-01-01 11:47:00,US Corp Bond,HY,BBB,Financials,Microsoft,44107473,86.23,7.26,Sell,Vanguard,JP Morgan,Voice,96625541,89074.27
138,100139,2024-01-01 11:48:00,US Corp Bond,IG,A,Energy,Amazon,88769384,109.15,5.93,Sell,BlackRock,Barclays,Voice,110026096,121490.65
139,100140,2024-01-01 11:49:00,US Corp Bond,EM,A,Financials,Tesla,48175449,97.03,5.05,Sell,Morgan Stanley,Citi,RFQ,111385763,51463.93
140,100141,2024-01-01 11:50:00,US Corp Bond,EM,AAA,Financials,Tesla,49602442,108.51,3.56,Buy,T. Rowe Price,JP Morgan,RFQ,86864050,92930.71
141,100142,2024-01-01 11:51:00,US Corp Bond,IG,A,Healthcare,Citi,57827015,102.1,5.61,Sell,BlackRock,JP Morgan,RFQ,83671140,81913.96
142,100143,2024-01-01 11:52:00,US Corp Bond,IG,B,Technology,Vanguard,27110621,100.92,5.47,Sell,Vanguard,Morgan Stanley,Voice,49799194,59047.35
143,100144,2024-01-01 11:53:00,US Corp Bond,IG,A,Utilities,JPMorgan,26294698,101.4,3.31,Sell,Wellington,Morgan Stanley,RFQ,38399993,14883.63
144,100145,2024-01-01 11:54:00,US Corp Bond,IG,BBB,Energy,Citi,43593187,101.28,3.38,Buy,T. Rowe Price,Barclays,RFQ,96636405,74713.46
145,100146,2024-01-01 11:55:00,US Corp Bond,IG,BBB,Technology,JPMorgan,31094769,100.13,3.67,Sell,Morgan Stanley,Goldman Sachs,RFQ,48212639,19055.63
146,100147,2024-01-01 11:56:00,US Corp Bond,HY,BBB,Consumer Goods,Citi,43979825,98.08,7.35,Buy,Wellington,Goldman Sachs,Voice,52879294,69743.74
147,100148,2024-01-01 11:57:00,US Corp Bond,IG,A,Technology,Microsoft,78164461,102.62,5.18,Sell,T. Rowe Price,Citi,RFQ,89816932,90143.76
148,100149,2024-01-01 11:58:00,US Corp Bond,IG,BB,Financials,BlackRock,78015628,109.86,5.7,Sell,T. Rowe Price,Barclays,RFQ,114222162,25056.23
149,100150,2024-01-01 11:59:00,US Corp Bond,IG,A,Utilities,Amazon,52143690,102.77,5.53,Buy,Morgan Stanley,Goldman Sachs,RFQ,96202796,58895.32
150,100151,2024-01-01 12:00:00,US Corp Bond,EM,BB,Consumer Goods,Microsoft,43722597,107.28,4.6,Sell,Vanguard,JP Morgan,RFQ,86965348,13365.96
151,100152,2024-01-01 12:01:00,US Corp Bond,IG,AA,Technology,Goldman Sachs,45219335,106.18,3.15,Sell,Vanguard,Barclays,RFQ,81784584,120933.7
152,100153,2024-01-01 12:02:00,US Corp Bond,IG,AA,Technology,Citi,69680430,101.02,5.16,Sell,Vanguard,JP Morgan,Voice,144798499,181380.59
153,100154,2024-01-01 12:03:00,US Corp Bond,IG,AAA,Utilities,Amazon,17187557,106.83,4.85,Buy,BlackRock,Citi,Voice,35295752,20969.83
154,100155,2024-01-01 12:04:00,US Corp Bond,EM,BBB,Financials,Vanguard,4970077,97.32,3.7,Buy,Fidelity,Barclays,RFQ,9461948,6037.19
155,100156,2024-01-01 12:05:00,US Corp Bond,IG,A,Consumer Goods,JPMorgan,96248202,98.05,5.77,Buy,Wellington,Citi,Voice,197755415,122064.4
156,100157,2024-01-01 12:06:00,US Corp Bond,HY,AA,Financials,BlackRock,27213448,85.17,10.3,Sell,Morgan Stanley,Morgan Stanley,RFQ,62768986,64058.93
157,100158,2024-01-01 12:07:00,US Corp Bond,HY,AA,Utilities,Vanguard,6516436,81.36,8.44,Sell,Wellington,Citi,RFQ,7535708,4426.62
158,100159,2024-01-01 12:08:00,US Corp Bond,IG,B,Technology,Tesla,60208130,104.66,5.33,Sell,Fidelity,Morgan Stanley,Voice,136430811,54210.86
159,100160,2024-01-01 12:09:00,US Corp Bond,HY,BB,Energy,Microsoft,19159931,99.9,6.18,Buy,BlackRock,Barclays,RFQ,30625264,14553.9
